STDDEV,Resistance (kOhm),Mass (g),Efficiency (%),Sonication Time (min)
7.550055187,98.36666667,0.05,40,3
33.17368435,117.2666667,0.05,50,3
20.40204238,71.83333333,0.05,60,3
13.3993781,109.7666667,0.05,60,5
25.91646838,98.86666667,0.05,70,4
44.04478781,95.16666667,0.05,70,5
192.8730152,250,0.1,50,3
1065.035211,1450,0.1,50,5
1566.045976,1570,0.1,50,6
927.811044,1943.333333,0.1,60,3
1988.902545,1633.333333,0.1,60,5
472.8988616,1576.666667,0.1,60,6
5335.350593,3860.458333,0.1,65,5
2398.67102,1470.433333,0.1,65,5
730.7565224,606.55,0.1,65,5
4.899319681,39.83333333,0.1,75,6
4.352393977,30.43333333,0.1,80,5
26.00230759,60.6,0.1,90,3
72.28487624,70.23333333,0.15,40,3
20.36492082,25.7,0.15,40,5
1561.44293,937.0333333,0.15,40,7
43.61723665,94.73333333,0.15,50,3
50.72780303,92.4,0.15,60,5
278.8518125,268.3333333,0.15,60,6
10.35229443,53,0.15,65,5
3.137408697,72.93333333,0.15,75,4.5
8.626316325,14.26666667,0.15,85,4.5
0.850490055,20.23333333,0.15,90,4.5
0.593660958,0.663333333,0.2,50,3
19.90209369,88.26666667,0.2,50,5
0.370045042,0.333333333,0.2,60,3
12.07904522,21.16666667,0.2,60,5
0.025166115,0.063333333,0.2,60,5
0.115902258,0.253333333,0.2,60,6
43.0374643,76.96666667,0.2,65,5
20.7384506,31.43333333,0.2,70,5
34.98061368,119.8333333,0.2,70,5
31.00628968,24.6,0.2,75,4.5
14.28168991,94.7,0.25,40,3
18.21071113,19.2,0.25,50,3
41.86664344,48.175,0.25,50,5
15.43426923,18.85,0.25,60,3
22.22836026,28.7,0.25,60,5
9.412934364,16.85,0.25,70,5
,,,,
